Participant	Stimulus	StimType	StimNum	PostV	PostA	PreV	PreA	t	dt	p
orrd04	Po3	Pos	3	11	4	7	4	2577	683	1
orrd04	Ne8	Neg	8	6	4	11	4	3354	777	2
orrd04	Ne4	Neg	4	5	4	6	4	3645	291	2
orrd04	Ne6	Neg	6	8	4	5	4	3984	339	2
orrd04	Po2	Pos	2	12	4	8	4	4274	290	2
orrd04	Po1	Pos	1	11	4	12	4	4482	208	3
LEAV35	Ne8	Neg	8	8	2	8	1	418	96	1
LEAV35	Nt1	Neu	1	8	1	8	2	467	49	1
LEAV35	Ne4	Neg	4	4	3	8	1	594	127	3
LEAV35	Po2	Pos	2	10	2	4	3	645	51	1
LEAV35	Ne7	Neg	7	4	2	10	2	720	75	1
LEAV35	Ne6	Neg	6	5	2	4	2	802	82	1
LEAV35	Po9	Pos	9	12	1	5	2	870	68	3
LEAV35	Po3	Pos	3	9	1	12	1	900	30	1
LEAV35	Po1	Pos	1	10	1	9	1	1010	110	4
LEAV35	Ne9	Neg	9	8	2	10	1	2362	1352	1
INC54	Ne8	Neg	8	7	3	12	5	638	265	5
INC54	Po9	Pos	9	13	5	7	3	880	242	1
INC54	Ne4	Neg	4	3	1	13	5	1148	268	1
INC54	Nt1	Neu	1	8	2	3	1	1449	301	3
INC54	Ne9	Neg	9	11	6	8	2	1748	299	1
INC54	Po2	Pos	2	14	5	11	6	2015	267	6
INC54	Ne7	Neg	7	9	5	14	5	2281	266	2
INC54	Po1	Pos	1	14	6	9	5	2489	208	6
INC54	Po3	Pos	3	14	6	14	6	3313	824	7
INC54	Ne6	Neg	6	8	2	14	6	3691	378	1
harp41	Ne7	Neg	7	11	4	8	3	357	171	2
harp41	Po9	Pos	9	8	3	11	4	570	213	2
harp41	Ne6	Neg	6	5	5	8	3	921	351	2
harp41	Ne4	Neg	4	6	5	5	5	1224	303	2
harp41	Ne9	Neg	9	5	4	6	5	1425	201	2
harp41	Po3	Pos	3	11	5	5	4	1736	311	2
harp41	Po2	Pos	2	11	5	11	5	1902	166	2
harp41	Nt1	Neu	1	8	3	11	5	2001	99	2
harp41	Po1	Pos	1	11	4	8	3	2113	112	4
harp41	Ne8	Neg	8	8	4	11	4	2425	312	2
OICN87	Po9	Pos	9	14	4	12	6	512	226	5
OICN87	Po3	Pos	3	14	3	14	4	846	334	3
OICN87	Ne7	Neg	7	4	4	14	3	1106	260	6
OICN87	Ne6	Neg	6	6	4	4	4	1411	305	1
OICN87	Ne4	Neg	4	6	3	6	4	1589	178	1
OICN87	Po1	Pos	1	12	2	6	3	1754	165	2
OICN87	Po2	Pos	2	12	3	12	2	1995	241	2
OICN87	Nt1	Neu	1	6	4	12	3	2086	91	1
OICN87	Ne9	Neg	9	6	3	6	4	2264	178	1
OICN87	Ne8	Neg	8	6	4	6	3	2455	191	1
ISNJ45	Ne7	Neg	7	5	4	8	4	523	253	2
ISNJ45	Nt1	Neu	1	8	4	5	4	644	121	1
ISNJ45	Po2	Pos	2	12	6	8	4	784	140	3
ISNJ45	Po9	Pos	9	11	5	12	6	947	163	4
ISNJ45	Ne6	Neg	6	2	7	11	5	1021	74	1
ISNJ45	Po1	Pos	1	8	4	2	7	1156	135	1
ISNJ45	Ne8	Neg	8	8	6	8	4	1234	78	3
ISNJ45	Ne4	Neg	4	2	5	8	6	1303	69	1
ISNJ45	Ne9	Neg	9	8	4	2	5	1424	121	1
ISNJ45	Po3	Pos	3	14	7	8	4	1490	66	4
ARES87	Nt1	Neu	1	6	4	9	3	336	150	1
ARES87	Ne8	Neg	8	8	4	6	4	505	169	5
ARES87	Po1	Pos	1	10	4	8	4	607	102	5
ARES87	Ne9	Neg	9	8	4	10	4	793	186	1
ARES87	Ne6	Neg	6	6	4	8	4	915	122	1
ARES87	Ne4	Neg	4	2	4	6	4	1022	107	1
ARES87	Po3	Pos	3	13	3	2	4	1176	154	5
ARES87	Po2	Pos	2	13	3	13	3	1260	84	5
ARES87	Po9	Pos	9	12	4	13	3	1338	78	5
ARES87	Ne7	Neg	7	3	5	12	4	1493	155	1
ouog54	Ne4	Neg	4	5	5	8	4	366	153	2
ouog54	Po9	Pos	9	12	5	5	5	501	135	6
ouog54	Po2	Pos	2	14	2	12	5	657	156	7
ouog54	Ne9	Neg	9	6	5	14	2	819	162	5
ouog54	Ne7	Neg	7	6	5	6	5	953	134	6
ouog54	Po3	Pos	3	12	5	6	5	1169	216	6
ouog54	Ne6	Neg	6	4	6	12	5	1345	176	4
ouog54	Ne8	Neg	8	8	4	4	6	1489	144	4
ouog54	Nt1	Neu	1	6	4	8	4	1623	134	1
ouog54	Po1	Pos	1	11	4	6	4	1753	130	1
rieo92	Ne9	Neg	9	10	4	8	3	121	66	4
rieo92	Po1	Pos	1	8	2	10	4	167	46	1
rieo92	Ne7	Neg	7	8	4	8	2	214	47	3
rieo92	Ne8	Neg	8	7	4	8	4	263	49	4
rieo92	Ne4	Neg	4	6	5	7	4	305	42	4
rieo92	Po9	Pos	9	12	2	6	5	371	66	6
rieo92	Po2	Pos	2	13	1	12	2	445	74	5
rieo92	Ne6	Neg	6	5	5	13	1	496	51	3
rieo92	Nt1	Neu	1	8	1	5	5	527	31	1
rieo92	Po3	Pos	3	13	5	8	1	660	133	4
helg13	Po1	Pos	1	8	5	11	5	113	53	6
helg13	Ne6	Neg	6	4	4	8	5	151	38	3
helg13	Ne8	Neg	8	6	3	4	4	189	38	3
helg13	Po3	Pos	3	12	5	6	3	296	107	3
helg13	Ne4	Neg	4	2	5	12	5	346	50	5
helg13	Po9	Pos	9	10	5	2	5	388	42	3
helg13	Ne7	Neg	7	10	4	10	5	608	220	3
helg13	Po2	Pos	2	11	4	10	4	865	257	3
helg13	Nt1	Neu	1	8	2	11	4	906	41	2
helg13	Ne9	Neg	9	5	5	8	2	972	66	4
aehj84	Po1	Pos	1	9	4	10	4	366	153	4
aehj84	Po9	Pos	9	11	4	9	4	577	211	4
aehj84	Nt1	Neu	1	7	4	11	4	826	249	3
aehj84	Ne6	Neg	6	7	4	7	4	1205	379	5
aehj84	Po2	Pos	2	10	4	7	4	1456	251	4
aehj84	Ne8	Neg	8	6	4	10	4	1697	241	5
aehj84	Ne7	Neg	7	6	5	6	4	1944	247	2
aehj84	Po3	Pos	3	11	3	6	5	2286	342	4
aehj84	Ne4	Neg	4	5	5	11	3	2480	194	4
aehj84	Ne9	Neg	9	6	4	5	5	2784	304	4
ASLW88	Po9	Pos	9	10	4	10	4	373	160	1
ASLW88	Ne4	Neg	4	5	5	10	4	563	190	1
ASLW88	Ne6	Neg	6	2	5	5	5	795	232	3
ASLW88	Ne9	Neg	9	3	3	2	5	993	198	2
ASLW88	Po3	Pos	3	14	5	3	3	1233	240	4
ASLW88	Po1	Pos	1	10	6	14	5	1365	132	5
ASLW88	Ne7	Neg	7	4	3	10	6	1526	161	2
ASLW88	Po2	Pos	2	12	5	4	3	1713	187	3
ASLW88	Ne8	Neg	8	5	5	12	5	1886	173	1
ASLW88	Nt1	Neu	1	4	6	5	5	2111	225	3
ATLM59	Po3	Pos	3	10	1	8	4	1620	291	5
ATLM59	Nt1	Neu	1	8	4	10	1	1797	177	1
ATLM59	Po2	Pos	2	13	1	8	4	2003	206	5
ATLM59	Po9	Pos	9	12	4	13	1	2136	133	3
ATLM59	Ne7	Neg	7	8	4	12	4	2280	144	2
ATLM59	Ne6	Neg	6	8	4	8	4	2466	186	1
ATLM59	Ne8	Neg	8	7	4	8	4	2625	159	6
ATLM59	Po1	Pos	1	14	4	7	4	2725	100	7
ATLM59	Ne4	Neg	4	3	5	14	4	2860	135	3
ATLM59	Ne9	Neg	9	8	4	3	5	3070	210	1
ATOL69	Po1	Pos	1	12	6	14	6	834	287	4
ATOL69	Ne7	Neg	7	4	4	12	6	2905	2071	2
ATOL69	Po3	Pos	3	14	6	4	4	3328	423	4
ATOL69	Ne9	Neg	9	4	5	14	6	3629	301	2
ATOL69	Po2	Pos	2	14	5	4	5	4140	511	4
ATOL69	Ne8	Neg	8	6	3	14	5	4433	293	2
ATOL69	Po9	Pos	9	14	4	6	3	4830	397	3
ATOL69	Ne6	Neg	6	4	3	14	4	5218	388	2
ATOL69	Ne4	Neg	4	3	4	4	3	5476	258	2
ATOL69	Nt1	Neu	1	11	1	3	4	5744	268	2
ATII40	Ne4	Neg	4	4	3	8	1	220	164	3
ATII40	Po9	Pos	9	8	4	4	3	313	93	3
ATII40	Ne8	Neg	8	5	3	8	4	476	163	2
ATII40	Ne9	Neg	9	5	3	5	3	688	212	2
ATII40	Po1	Pos	1	8	2	5	3	780	92	1
ATII40	Nt1	Neu	1	8	1	8	2	818	38	1
ATII40	Po2	Pos	2	12	5	8	1	1009	191	2
ATII40	Ne6	Neg	6	5	3	12	5	1132	123	2
ATII40	Po3	Pos	3	14	5	5	3	1394	262	2
ATII40	Ne7	Neg	7	6	3	14	5	1481	87	2
UDUA22	Nt1	Neu	1	12	1	14	1	584	342	1
UDUA22	Ne4	Neg	4	6	5	12	1	855	271	2
UDUA22	Po1	Pos	1	14	6	6	5	1080	225	7
UDUA22	Ne6	Neg	6	8	1	14	6	1491	411	1
UDUA22	Ne9	Neg	9	8	2	8	1	1772	281	1
UDUA22	Ne8	Neg	8	8	2	8	2	2014	242	1
UDUA22	Po3	Pos	3	12	5	8	2	2405	391	2
UDUA22	Po9	Pos	9	13	5	12	5	2630	225	4
UDUA22	Po2	Pos	2	12	5	13	5	2984	354	4
UDUA22	Ne7	Neg	7	8	2	12	5	3319	335	1
atok85	Po3	Pos	3	8	4	9	5	483	160	2
atok85	Nt1	Neu	1	8	2	8	4	592	109	1
atok85	Po9	Pos	9	11	5	8	2	691	99	5
atok85	Ne9	Neg	9	5	5	11	5	816	125	2
atok85	Po1	Pos	1	9	4	5	5	925	109	7
atok85	Po2	Pos	2	11	4	9	4	1035	110	1
atok85	Ne8	Neg	8	5	5	11	4	1117	82	5
atok85	Ne4	Neg	4	2	7	5	5	1199	82	1
atok85	Ne7	Neg	7	3	5	2	7	1306	107	3
atok85	Ne6	Neg	6	5	4	3	5	1371	65	5
ABOT47	Po3	Pos	3	5	5	6	2	433	244	2
ABOT47	Ne4	Neg	4	5	6	5	5	561	128	1
ABOT47	Po1	Pos	1	10	5	5	6	702	141	1
ABOT47	Nt1	Neu	1	11	3	10	5	858	156	2
ABOT47	Po9	Pos	9	9	4	11	3	979	121	1
ABOT47	Ne8	Neg	8	5	5	9	4	1126	147	1
ABOT47	Ne9	Neg	9	3	6	5	5	1284	158	2
ABOT47	Ne6	Neg	6	6	4	3	6	1545	261	1
ABOT47	Ne7	Neg	7	4	5	6	4	2345	800	1
ABOT47	Po2	Pos	2	11	4	4	5	2609	264	1
LEAY00	Ne9	Neg	9	11	7	7	4	1464	876	4
LEAY00	Ne4	Neg	4	4	5	11	7	2066	602	5
LEAY00	Po3	Pos	3	14	2	4	5	2653	587	5
LEAY00	Ne8	Neg	8	12	5	14	2	3124	471	1
LEAY00	Ne7	Neg	7	2	7	12	5	3507	383	1
LEAY00	Nt1	Neu	1	8	1	2	7	3592	85	1
LEAY00	Po1	Pos	1	14	7	8	1	3829	237	1
LEAY00	Ne6	Neg	6	2	1	14	7	4620	791	1
LEAY00	Po2	Pos	2	12	1	2	1	4913	293	1
LEAY00	Po9	Pos	9	14	5	12	1	5022	109	5
nguf00	Po9	Pos	9	12	5	8	4	490	164	3
nguf00	Po3	Pos	3	8	3	12	5	1168	678	5
nguf00	Ne4	Neg	4	2	5	8	3	1391	223	4
nguf00	Nt1	Neu	1	6	2	2	5	1546	155	1
nguf00	Ne7	Neg	7	3	3	6	2	1770	224	6
nguf00	Po1	Pos	1	8	4	3	3	1996	226	5
nguf00	Ne6	Neg	6	6	5	8	4	2211	215	5
nguf00	Ne9	Neg	9	5	5	6	5	2391	180	5
nguf00	Po2	Pos	2	10	5	5	5	2478	87	5
nguf00	Ne8	Neg	8	10	5	10	5	2563	85	5
EVKZ05	Nt1	Neu	1	4	1	9	3	429	178	1
EVKZ05	Po1	Pos	1	12	5	4	1	607	178	4
EVKZ05	Ne4	Neg	4	2	5	12	5	864	257	3
EVKZ05	Po2	Pos	2	14	3	2	5	1140	276	4
EVKZ05	Po9	Pos	9	12	2	14	3	1332	192	2
EVKZ05	Ne9	Neg	9	4	4	12	2	1591	259	2
EVKZ05	Ne6	Neg	6	8	4	4	4	1883	292	1
EVKZ05	Ne8	Neg	8	8	4	8	4	2083	200	2
EVKZ05	Po3	Pos	3	14	6	8	4	2400	317	5
EVKZ05	Ne7	Neg	7	4	4	14	6	2622	222	2
dred71	Ne6	Neg	6	7	2	12	4	875	396	2
dred71	Po9	Pos	9	13	6	7	2	1074	199	5
dred71	Nt1	Neu	1	11	1	13	6	1307	233	1
dred71	Ne8	Neg	8	9	3	11	1	1503	196	4
dred71	Po1	Pos	1	8	2	9	3	1655	152	3
dred71	Po2	Pos	2	14	6	8	2	2018	363	5
dred71	Po3	Pos	3	14	6	14	6	2214	196	4
dred71	Ne7	Neg	7	4	3	14	6	2360	146	2
dred71	Ne4	Neg	4	2	4	4	3	2554	194	1
dred71	Ne9	Neg	9	6	5	2	4	2728	174	1
IRAU28	Ne4	Neg	4	8	3	8	3	220	50	3
IRAU28	Po2	Pos	2	8	3	8	3	251	31	3
IRAU28	Ne9	Neg	9	8	3	8	3	290	39	3
IRAU28	Po3	Pos	3	8	3	8	3	327	37	3
IRAU28	Po9	Pos	9	8	4	8	3	734	407	5
IRAU28	Ne6	Neg	6	7	4	8	4	838	104	2
IRAU28	Nt1	Neu	1	8	2	7	4	905	67	2
IRAU28	Ne8	Neg	8	8	3	8	2	973	68	1
IRAU28	Ne7	Neg	7	7	2	8	3	1015	42	1
IRAU28	Po1	Pos	1	11	2	7	2	1120	105	3
ASLV41	Po1	Pos	1	3	1	13	6	510	188	1
ASLV41	Po2	Pos	2	14	5	3	1	831	321	1
ASLV41	Ne8	Neg	8	6	4	14	5	1037	206	1
ASLV41	Po3	Pos	3	14	6	6	4	1110	73	1
ASLV41	Nt1	Neu	1	8	1	14	6	1157	47	1
ASLV41	Ne6	Neg	6	12	5	8	1	1206	49	1
ASLV41	Ne9	Neg	9	6	3	12	5	1255	49	1
ASLV41	Ne7	Neg	7	5	3	6	3	1337	82	1
ASLV41	Po9	Pos	9	8	1	5	3	1414	77	1
ASLV41	Ne4	Neg	4	2	5	8	1	1552	138	1
HANK61	Ne6	Neg	6	4	4	10	3	1981	391	1
HANK61	Po2	Pos	2	13	6	4	4	2191	210	1
HANK61	Ne7	Neg	7	2	5	13	6	2332	141	1
HANK61	Nt1	Neu	1	8	4	2	5	2459	127	1
HANK61	Ne4	Neg	4	2	6	8	4	2554	95	1
HANK61	Po9	Pos	9	14	6	2	6	2663	109	1
HANK61	Ne8	Neg	8	5	4	14	6	2760	97	1
HANK61	Ne9	Neg	9	3	5	5	4	3248	488	1
HANK61	Po1	Pos	1	6	4	3	5	4045	797	1
HANK61	Po3	Pos	3	14	6	6	4	4160	115	1
ANRS77	Ne4	Neg	4	3	5	12	2	615	290	5
ANRS77	Po1	Pos	1	13	5	3	5	776	161	7
ANRS77	Ne6	Neg	6	5	6	13	5	1041	265	7
ANRS77	Ne7	Neg	7	3	6	5	6	1330	289	1
ANRS77	Ne9	Neg	9	13	1	3	6	1540	210	1
ANRS77	Nt1	Neu	1	13	1	13	1	1685	145	2
ANRS77	Ne8	Neg	8	5	3	13	1	1882	197	2
ANRS77	Po2	Pos	2	14	2	5	3	2116	234	6
ANRS77	Po9	Pos	9	14	1	14	2	2275	159	1
ANRS77	Po3	Pos	3	14	2	14	1	2493	218	1
ANRH62	Ne6	Neg	6	6	4	12	5	524	223	1
ANRH62	Nt1	Neu	1	8	4	6	4	616	92	1
ANRH62	Ne8	Neg	8	8	4	8	4	928	312	3
ANRH62	Po2	Pos	2	11	4	8	4	1111	183	1
ANRH62	Po9	Pos	9	12	5	11	4	1262	151	4
ANRH62	Ne4	Neg	4	6	4	12	5	1344	82	2
ANRH62	Ne7	Neg	7	6	4	6	4	1444	100	3
ANRH62	Ne9	Neg	9	8	4	6	4	1529	85	2
ANRH62	Po1	Pos	1	8	4	8	4	1602	73	3
ANRH62	Po3	Pos	3	8	4	8	4	1686	84	2
FSHM68	Po9	Pos	9	8	2	10	4	422	221	1
FSHM68	Ne7	Neg	7	6	2	8	2	726	304	1
FSHM68	Ne6	Neg	6	10	2	6	2	1031	305	1
FSHM68	Ne9	Neg	9	8	1	10	2	1287	256	1
FSHM68	Nt1	Neu	1	4	1	8	1	1457	170	1
FSHM68	Po2	Pos	2	10	2	4	1	1691	234	1
FSHM68	Po1	Pos	1	10	3	10	2	1869	178	1
FSHM68	Ne8	Neg	8	6	1	10	3	2485	616	1
FSHM68	Ne4	Neg	4	4	4	6	1	2657	172	1
FSHM68	Po3	Pos	3	10	2	4	4	2935	278	1
IHRM64	Nt1	Neu	1	5	5	6	4	501	219	1
IHRM64	Ne7	Neg	7	5	3	5	5	747	246	5
IHRM64	Po1	Pos	1	12	5	5	3	922	175	6
IHRM64	Po3	Pos	3	10	4	12	5	1391	469	4
IHRM64	Po2	Pos	2	12	4	10	4	1634	243	2
IHRM64	Ne4	Neg	4	5	4	12	4	1773	139	1
IHRM64	Ne9	Neg	9	6	3	5	4	2018	245	1
IHRM64	Ne6	Neg	6	6	4	6	3	2240	222	1
IHRM64	Ne8	Neg	8	6	5	6	4	2355	115	6
IHRM64	Po9	Pos	9	10	4	6	5	2511	156	1
ARTV58	Ne8	Neg	8	6	5	13	3	849	290	1
ARTV58	Po2	Pos	2	14	3	6	5	1084	235	6
ARTV58	Ne7	Neg	7	4	4	14	3	1256	172	1
ARTV58	Ne6	Neg	6	8	2	4	4	1462	206	1
ARTV58	Po9	Pos	9	14	2	8	2	1663	201	6
ARTV58	Nt1	Neu	1	8	4	14	2	1756	93	1
ARTV58	Po1	Pos	1	8	1	8	4	1959	203	7
ARTV58	Ne9	Neg	9	8	4	8	1	2238	279	1
ARTV58	Po3	Pos	3	14	1	8	4	2359	121	4
ARTV58	Ne4	Neg	4	2	5	14	1	2568	209	1
AREI20	Ne9	Neg	9	3	1	11	5	469	225	1
AREI20	Nt1	Neu	1	2	1	3	1	660	191	1
AREI20	Ne4	Neg	4	2	7	2	1	861	201	7
AREI20	Ne6	Neg	6	3	5	2	7	1082	221	1
AREI20	Ne7	Neg	7	2	5	3	5	1580	498	2
AREI20	Po2	Pos	2	13	6	2	5	1771	191	6
AREI20	Po1	Pos	1	14	5	13	6	1899	128	6
AREI20	Ne8	Neg	8	8	2	14	5	2082	183	5
AREI20	Po3	Pos	3	9	4	8	2	2142	60	4
AREI20	Po9	Pos	9	14	6	9	4	2580	438	6
IAHJ80	Ne6	Neg	6	9	4	8	2	1487	1175	1
IAHJ80	Po2	Pos	2	11	2	9	4	1775	288	1
IAHJ80	Po3	Pos	3	5	2	11	2	2036	261	1
IAHJ80	Po9	Pos	9	13	2	5	2	2267	231	1
IAHJ80	Ne9	Neg	9	8	3	13	2	2722	455	1
IAHJ80	Nt1	Neu	1	8	1	8	3	2828	106	1
IAHJ80	Ne4	Neg	4	8	2	8	1	4200	1372	1
IAHJ80	Ne7	Neg	7	7	2	8	2	4636	436	1
IAHJ80	Ne8	Neg	8	8	1	7	2	5029	393	1
IAHJ80	Po1	Pos	1	8	1	8	1	5192	163	1
ISRB75	Po2	Pos	2	9	6	12	5	309	166	4
ISRB75	Po9	Pos	9	11	3	9	6	421	112	1
ISRB75	Ne9	Neg	9	5	3	11	3	615	194	1
ISRB75	Ne4	Neg	4	4	5	5	3	766	151	7
ISRB75	Ne8	Neg	8	8	4	4	5	873	107	1
ISRB75	Po3	Pos	3	6	5	8	4	1151	278	1
ISRB75	Po1	Pos	1	10	2	6	5	1255	104	2
ISRB75	Ne7	Neg	7	6	2	10	2	1425	170	1
ISRB75	Ne6	Neg	6	6	3	6	2	1627	202	1
ISRB75	Nt1	Neu	1	8	4	6	3	1806	179	1
usgy00	Po1	Pos	1	8	2	7	4	418	137	1
usgy00	Ne8	Neg	8	8	2	8	2	648	230	5
usgy00	Po3	Pos	3	8	4	8	2	934	286	1
usgy00	Po2	Pos	2	8	4	8	4	1207	273	4
usgy00	Ne6	Neg	6	4	4	8	4	1575	368	3
usgy00	Po9	Pos	9	13	5	4	4	1736	161	7
usgy00	Nt1	Neu	1	12	5	13	5	1919	183	5
usgy00	Ne7	Neg	7	6	3	12	5	2119	200	6
usgy00	Ne9	Neg	9	7	4	6	3	2411	292	1
usgy00	Ne4	Neg	4	5	3	7	4	2580	169	1
arov55	Po1	Pos	1	6	4	10	4	324	138	1
arov55	Ne4	Neg	4	4	4	6	4	459	135	2
arov55	Po9	Pos	9	8	4	4	4	539	80	1
arov55	Ne9	Neg	9	6	4	8	4	654	115	1
arov55	Po2	Pos	2	11	2	6	4	759	105	1
arov55	Po3	Pos	3	12	2	11	2	1026	267	1
arov55	Ne8	Neg	8	6	3	12	2	1101	75	1
arov55	Nt1	Neu	1	8	4	6	3	1165	64	1
arov55	Ne6	Neg	6	4	4	8	4	1280	115	1
arov55	Ne7	Neg	7	4	4	4	4	1368	88	3
ETII72	Ne6	Neg	6	11	3	8	1	816	413	1
ETII72	Po2	Pos	2	14	5	11	3	1145	329	3
ETII72	Ne4	Neg	4	4	4	14	5	1511	366	3
ETII72	Po1	Pos	1	13	5	4	4	1775	264	5
ETII72	Ne7	Neg	7	4	4	13	5	2067	292	1
ETII72	Po9	Pos	9	11	3	4	4	2353	286	1
ETII72	Ne9	Neg	9	10	4	11	3	2665	312	1
ETII72	Po3	Pos	3	14	4	10	4	3099	434	1
ETII72	Nt1	Neu	1	11	1	14	4	3486	387	2
ETII72	Ne8	Neg	8	12	5	11	1	3759	273	1
LIMS84	Ne7	Neg	7	9	4	9	4	135	49	4
LIMS84	Ne6	Neg	6	7	2	9	4	306	171	5
LIMS84	Nt1	Neu	1	13	1	7	2	526	220	7
LIMS84	Ne9	Neg	9	11	3	13	1	732	206	4
LIMS84	Po3	Pos	3	10	3	11	3	1028	296	4
LIMS84	Po9	Pos	9	10	1	10	3	1076	48	6
LIMS84	Po2	Pos	2	10	3	10	1	1338	262	4
LIMS84	Ne8	Neg	8	9	4	10	3	1527	189	4
LIMS84	Po1	Pos	1	13	1	9	4	1667	140	7
LIMS84	Ne4	Neg	4	14	3	13	1	1854	187	7
TERW46	Ne9	Neg	9	4	6	10	4	190	91	2
TERW46	Ne6	Neg	6	5	4	4	6	269	79	1
TERW46	Ne7	Neg	7	3	6	5	4	366	97	3
TERW46	Po9	Pos	9	14	6	3	6	418	52	4
TERW46	Po1	Pos	1	14	5	14	6	527	109	6
TERW46	Ne4	Neg	4	2	6	14	5	699	172	5
TERW46	Po2	Pos	2	12	3	2	6	956	257	2
TERW46	Nt1	Neu	1	8	2	12	3	1114	158	1
TERW46	Ne8	Neg	8	5	4	8	2	1193	79	1
TERW46	Po3	Pos	3	10	2	5	4	1313	120	1
UEXL26	Po1	Pos	1	8	5	11	6	397	240	1
UEXL26	Po9	Pos	9	12	1	8	5	631	234	4
UEXL26	Ne6	Neg	6	6	1	12	1	761	130	1
UEXL26	Ne7	Neg	7	8	1	6	1	944	183	1
UEXL26	Ne4	Neg	4	10	5	8	1	1078	134	5
UEXL26	Po3	Pos	3	8	1	10	5	1222	144	1
UEXL26	Po2	Pos	2	8	1	8	1	1285	63	1
UEXL26	Ne8	Neg	8	8	1	8	1	1332	47	1
UEXL26	Nt1	Neu	1	11	5	8	1	1412	80	3
UEXL26	Ne9	Neg	9	5	1	11	5	1527	115	1
nnee16	Ne7	Neg	7	8	4	5	4	139	55	4
nnee16	Ne6	Neg	6	8	4	8	4	374	235	4
nnee16	Ne8	Neg	8	6	3	8	4	576	202	4
nnee16	Po2	Pos	2	6	4	6	3	653	77	1
